DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
 8  3 52  218  33 395 254  57  179  12
15  3 52  256  25 362 221  37  137   7
22  3 52  201  16 368 226  82  213  24
29  3 52  270  18 321 284  53  181  24
 5  4 52  231  32 332 306  77  175  55
12  4 52  210  15 234 223 100  155  71
19  4 52  294  46 234 348  93  164  90
26  4 52  275  33 314 243 175  130 117
 3  5 52  222  26 215 210  86  111  83
10  5 52  240  30 259 186  85   87 108
17  5 52  320  50 258 194 103   96  96
24  5 52  330  73 301 190 121  156 202
31  5 52  519  58 356 192 134  121 146
 7  6 52  553  75 267 185 151   90 210
14  6 52  745  77 330 201 178   98 230
21  6 52  639  97 341 174 157  102 210
28  6 52  714 103 298 270 214  114 223
 5  7 52  605  94 124 225 178  103 197
12  7 52  791 143 172 282 175   79 192
19  7 52  730  95 192 191 120  102 185
26  7 52  844  83 154 310 107  103 215
 2  8 52  944  66  79 271 139  105 190
 9  8 52  926  89  48 219  95  139 215
16  8 52  751  54  48 194  87  102 182
23  8 52  573  38  29 151  68  116 132
30  8 52  412  49  38  91  63   68  79
 6  9 52  280  48  16  61  47   60  67
13  9 52  240  12  16  74  29   37  52
20  9 52  272  20  15  64  38   40  35
27  9 52  354  21  19  69  17   45  22
 4 10 52  554  23  36  77  17   99  34
11 10 52  682  37  27  94  25   70  32
18 10 52  964  21  45 131  30   97  35
25 10 52 1094  23  13 127  39  122  32
 1 11 52 1252  31  28 184  23  181  41
 8 11 52  989  12  20 178  44  217  43
15 11 52 1208   8  28 212  29  272  53
22 11 52 1129   9  25 198  72  283  74
29 11 52 1560   6  30 219  46  422  98
 6 12 52 1488  15  40 212  67  509  83
13 12 52 1404  25  40 250  65  776 114
20 12 52 1797  43  37 275 118  919  68
27 12 52  996  26  34 237  71  833 126
 3  1 53 2705  96  61 413 179 1535 113
10  1 53 1905  78  71 458 242 1155 135
17  1 53 1777  62  54 359 139  958 165
24  1 53 1421 108  42 297 145  978 108
31  1 53 1470 107  81 301 115 1141 257
 7  2 53 1661 187  90 341 144 1368 275
14  2 53 1507 241 104 327 160 1482 302
21  2 53 1832 346 119 343 132 1266 277
28  2 53 1624 360 139 335  98 1074 346
 7  3 53 1621 341 157 261 121  818 293
14  3 53 1371 356 263 336 107  889 308
21  3 53 1439 398 285 258 117  677 362
28  3 53 1133 529 396 291 105  635 398
 4  4 53  953 468 488 291 126  550 292
11  4 53 1032 633 442 314 149  436 357
18  4 53  835 561 550 292 107  311 344
25  4 53  629 443 401 401  92  235 267
 2  5 53  419 419 331 166  85  190 211
 9  5 53  369 359 420 196  76  108 161
16  5 53  305 328 422 189  55   88 160
23  5 53  345 279 431 176  46   75 159
30  5 53  269 179 421 124  48   53 157
 6  6 53  297 155 442 153  41   63 126
13  6 53  207 109 506 127  30   61 117
20  6 53  291 103 527 107  43   51 101
27  6 53  173  74 519  47  40   40 134
 4  7 53  145  77 422  86  30   48 100
11  7 53  110  34 340  50  28   41  88
